9月,10月,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月
756,756,744,822,720,741,753,714,682,721,754,744
618,634,612,642,565,571,547,527,548,502,511,555
518,491,485,489,483,550,457,447,460,385,490,471
484,453,466,463,457,504,405,414,389,405,421,456
499,455,443,484,473,518,398,435,428,430,432,422
514,443,449,506,470,481,396,395,401,407,440,385
500,456,498,456,416,461,386,394,378,388,439,381
517,479,443,467,396,434,414,363,385,391,394,370
504,541,418,474,384,432,394,352,372,368,368,377
497,561,432,455,391,418,399,376,379,360,382,378
491,541,528,425,432,386,397,382,369,343,395,370
507,529,433,450,427,381,392,367,378,349,383,351
571,526,452,504,434,451,388,396,373,357,382,354
606,559,504,528,408,474,405,395,365,377,405,372
604,537,476,479,402,467,420,387,376,383,375,391
560,440,449,464,520,411,415,368,380,371,358,394
535,475,468,588,625,372,424,384,366,369,368,399
563,473,387,473,527,388,423,381,357,360,366,443
575,477,485,503,616,385,436,382,392,372,387,400
608,522,463,481,502,418,456,379,391,376,393,370
594,511,453,536,490,412,428,390,384,358,406,378
618,506,460,577,513,429,458,384,419,382,363,391
623,448,422,508,544,419,439,371,416,478,345,411
582,468,427,479,535,431,447,415,404,391,379,409
537,503,469,526,548,477,474,441,418,404,413,415
588,479,423,530,521,427,445,414,396,403,421,374
585,529,415,492,532,470,465,444,406,401,387,377
563,514,436,492,532,522,458,448,427,443,391,408
591,464,499,481,507,,450,475,422,442,410,421
607,453,571,503,469,,449,495,450,497,394,440
,576,,559,506,,502,,519,,463,485
